grower_code,grower_name,father_name,village,phone,bank_account,ifsc,land_acres,cane_variety
L001154,Thakur Suresh,Devilal Sahu,PIPPARIYA,9362008301,462991322331,MAHB0001204,1.19,CO-05011
L001055,MUKESH MISHRA,CHHOTELAL  SEN,KUKWARA,09650933002,8939 6100 5111,CNRB0003398,17.25,CO-86032
L001399,OMPRAKASH  AHIRWAR,Amarsingh Gour,MURLI POUDI,9684701061,,CNRB0003398,9.60,CO-86032
L001341,JAGDISH  AHIRWAR,Amarsingh V,BANDOLE,,2780 3487 4346,SBIN0004512,9.46,COJN-86-141
L001188,MAHENDRA BHARGAVA,RADHESHIAM LODHI,DEONAGAR,9836123578,355061839458,CNRB0003398,11.13,CO-86032
L001089,OMPRAKASH TIWARI,DINESH CHOUDHARY,DEONAGAR,9890789077,095682088272,MAHB0001204,12.55,CO-86032
L001488,Sahu Chhotelal,GIRDHARI MISHRA,BARKHEDA,96576 15584,623284494146,CNRB0003398,3.70,CO-0238
L904115,DEVILAL BHARGAVA, Rajput Santosh ,BARKHEDA,09134556405,440559874906,,1.05,CO-05011
L001278,Narayan P,Amarsingh Kourav,BELKHEDA,+919536047986,,MAHB0001204,13.77,COJN-86-141
L001033,KAILASH DUBEY,MADANLAL V,BARKHERA,91862 72533,204508004870,SBIN0004512,2.27,COJN-86-141
L001410,TULSIRAM YADAV,MUKESH PATEL,DEONAGAR,9193970867,715759506945,UBIN0812345,7.39,COJN-86-141
L001036,DINESH KOURAV,Santosh  Bhargava,BHALPANEE,,,MAHB0001204,5.07,CO-05011
L001273,SAMPATLAL PATEL,,KESALI,,,BARB0NARSIN,8.67,CO-0238
L001440,Amarsingh  Lodhi,KAILASH  MISHRA,KARHAIA,9214443872,291771074788,PUNB0223400,16.99,CO-0238
L001203,MADANLAL SEN,BHAGWAN YADAV,KHAMARIYA,09876300521,6034 0228 4244,MAHB0001204,6.67,CO-86032
L001123,KAILASH LODHI,HARIRAM KUSHWAHA,BARKHERA,9487593445,091900294819,UBIN0812345,15.64,CO-86032
L001024,KIRAR NANDKISHORE,SANTOSH SEN,BARKHERA,9551661605,,MAHB0001204,10.90,CO-05011
L001355,SURESH K, RAJESH PATHAK ,DUDWARA,9503900017,992007731941,MAHB0001204,8.48,CO-05011
L001142,LODHI KANHAIYA, MADANLAL SAHU ,BANDOL,976-887-1051,2807 4305 0954,SBIN0004512,11.07,CO-86032
L001284,Bhargava Amarsingh,DEVILAL YADAV,KARHAIYA,9809064941,646333076300,UBIN0812345,15.99,CO-0238
L001268,Govind Dubey, NARAYAN JAT ,MEHAGAON,09526725554,9390 5958 4512,CNRB0003398,3.74,CO-05011
L001003,Radheshyam Rajput,GIRDHARI PATEL,CHINKI,+919841485253,8885 3933 6338,SBIN0004512,9.12,CO-0238
L001155,PARSRAM  CHOUDHARY,KAILASH GOUR,KARHAIYA,9803407570,295826877038,PUNB0223400,9.18,CO-86032
L001404,Tiwari Premlal,,DUDWARA,+919108664361,102894817374,CNRB0003398,2.22,CO-98014
L001161,BALKISHAN P,RAGHUVEER SAHU,CHORAKHEDA,92571 52726,468288410816,SBIN0004512,16.01,CO-98014
L001084,DINESH KIRAR,AMARSINGH DUBEY,SIGODHI,9773553111,500351917037,BARB0NARSIN,11.70,COJN-86-141
L001324,MOHAN RAJPUT,Santosh Mishra,BARKHEDA,9112131332,954196432361,PUNB0223400,17.17,COJN-86-141
L001222,RAGHUWEER KIRAR,,BANDOLE,+919652079764,4331 5858 6058,MAHB0001204,2.46,CO-86032
L001261,SOHAN THAKUR,,PIPARIYA,9371036428,592802888388,UBIN0812345,8.03,COJN-86-141
L001191,Brijmohan Pathak, KAILAS GOUR ,DEVNAGAR (GOTEGAON),9039880243,969351254472,UBIN0812345,0.69,CO-0238
L001364,RADHESHYAM SAHU,LAKHAN JAT,BACHHAI,9969317805,089628754170,,8.39,COJN-86-141
L001340,Madanlal Patel,DUBEY  BABULAL,KHAMARIYA,9852214434,511589287456,CNRB0003398,13.83,CO-86032
L001419,PARSRAM RAJPUT,BRIJMOHAN RAJPUT,GADARIA,,031850118116,MAHB0001204,5.56,CO-05011
L001425,DEVILAL MISHRA,PARSRAM PARIHAR,CHORAKHERA,,0472 3472 9592,BARB0NARSIN,12.23,CO-86032
L001271,Girdhari P,GIRDHARI VISHWAKARMA,JALLAPUR,09449704377,799064377149,UBIN0812345,2.64,CO-05011
L001455,Rajesh Ahirwar,PREMLAL BHARGAVA,SIGODHI,09074792883,,UBIN0812345,15.01,CO-86032
L001021,Kailash  Patel,Dinesh Sen,KUKWADA,9859979873,200080623201,MAHB0001204,0.72,CO-05011
L001424,BALKISHAN CHOUDHARY,DINESH  RAJPUT,KHAMRIYA,9069744026,,PUNB0223400,11.27,CO-86032
L001376,SAMPATLAL D, GANES TIWARI ,BHALPANI,9734683136,796697935257,PUNB0223400,16.41,CO-0238
L001076,PATEL KAILASH,KUSHWAHA DINESH,BELKHERA,,178716177236,UBIN0812345,8.20,CO-0238
L001133,GOVIND SEN,JAGDISH PATEL,GORAKPUR,9272084563,,MAHB0001204,0.84,COJN-86-141
L001218,Mahendra Choudhary,HARIRAM AHIRWAR,DUDWARA,+919763329258,641481072942,BARB0NARSIN,4.21,CO-05011
L001251,GANESH L,AHIRWAR  SHIVKUMAR,JALLAPUR,916-311-7512,378825336035,SBIN0004512,1.11,CO-0238
L001134,Sitaram  Sahu,SAHU BALKISHAN,BHALPANEE,96916 34661,682224228378,UBIN0812345,17.17,CO-86032
L001280,PARSRAM JAT,HARIRAM DUBEY,KUKWARA,9792780410,974102271237,CNRB0003398,10.00,CO-98014
L001481,MADANLAL BHARGAVA,PARIHAR  BALKISHAN,BARKHEDA,95689 94880,297135132357,SBIN0004512,10.85,CO-05011
L001167,PREMLAL PATEL,,SIGODHI,9996536920,926927343410,PUNB0223400,14.40,COJN-86-141
L001016,NARAYAN G,NARAYAN VISHWAKARMA,MEHGAON,,883170107375,UBIN0812345,1.21,COJN-86-141
L001118, BRIJMOHAN BHARGAVA ,BALKISHAN YADAV,JALAPUR,9501451728,821892624395,PUNB0223400,8.73,CO-98014
L001067,NANDKISHORE TIWARI,BHAGWAN DUBEY,KUKWADA,9297085238,024824094652,UBIN0812345,5.27,CO-98014
L001103, SHIVKUMAR KOURAV ,SANTOS MISRA,MURLI PAUDI,9766312628,,UBIN0812345,8.81,CO-05011
L001358,BRIJMOHAN KUSHWAHA,,DEONAGAR,9924727710,,BARB0NARSIN,13.00,CO-05011
L001383,Lakhan Vishwakarma, BRIJMOHAN KUSHWAHA ,BARKHEDA,903-222-0608,,UBIN0812345,10.17,CO-98014
L001169,VISHWAKARMA SURESH,,BHALPANI,9211891399,015263012285,CNRB0003398,8.47,CO-98014
L001053,BABULAL TIWARI,PREMLAL TIWARI,BARKHEDA,9898299539,470487845884,CNRB0003398,2.81,CO-0238
L001063,GIRDHARI KUSHWAHA,SOHAN  CHOUDHARY,SIGHODI,9329808453,,MAHB0001204,17.01,CO-98014
L001359,SANTOSH RAJPUT,,KESLI,9056735018,415873624811,BARB0NARSIN,14.53,CO-0238
L001168,GANES KOURAW, GANES AHIRWAR ,BELKHEDA,,,BARB0NARSIN,4.69,CO-86032
L001018,MUKESH  PARIHAR,SHIVKUMAR SEN,KUKWADA,93969 37293,068265123308,,15.24,CO-0238
L001178, SHIVKUMAR AHIRWAR ,SITARAM DUBEY,CHINKI,938-133-9692,210463855810,BARB0NARSIN,7.23,CO-0238
L001396,BRIJMOHAN  PARIHAR,SHIVKUMAR DUBEY,PIPPARIYA,9721059834,185373480745,SBIN0004512,10.08,CO-05011
L001300,DINESH GOUR,GOWIND GOUR,MURLI POUDI,9333639537,623328621243,MAHB0001204,2.09,CO-0238
L001216,AMARSINGH PATEL,HARIRAM RAJPUT,MEHAGAON,09277400515,129233841075,MAHB0001204,11.65,CO-98014
L001221,SITARAM JAT, RAJES YADAW ,SIGHODI,+919962473897,503428100118,CNRB0003398,4.17,CO-98014
L001420,CHHOTELAL KIRAR,CHOUDHARY OMPRAKASH,CHORAKHEDA,9785935252,1812 2864 6975,CNRB0003398,12.53,CO-86032
L001220,DINESH KOURAV,SANTOSH KUSHWAHA,GORAKPUR,9872845171,440830071839,SBIN0004512,2.10,CO-98014
L001090,CHHOTELAL GOUR,KIRAR MADANLAL,KESALI,09741702619,649860192164,BARB0NARSIN,15.84,CO-05011
L001402,AHIRWAR DINESH, CHHOTELAL PARIHAR ,CHEENKI,09658258105,015793480603,BARB0NARSIN,4.99,COJN-86-141
L001337,DINESH  SEN,SURESH THAKUR,BHALPANEE,9773593641,186077872151,CNRB0003398,6.45,CO-0238
L001442,SEN SANTOSH,AMARSINGH  P,DEVNAGAR (GOTEGAON),936-297-4397,317727675114,MAHB0001204,15.96,COJN-86-141
L001200,JAGDISH PATEL,MISHRA NARAYAN,KHAMARIA,9264059252,,PUNB0223400,11.62,CO-86032
L001211,RAGHUVEER PARIHAR,KAILASH B,CHORAKHERA,9307323230,974616430603,CNRB0003398,16.65,CO-05011
L001137,SAMPATLAL  PARIHAR,Dewilal Kuswaha,KHAMARIYA,9490423298,972702385440,SBIN0004512,16.64,CO-98014
L001068,KANHAIYA KUSHWAHA,LAKHAN KUSHWAHA,BARKHEDA,+919422166566,755228864235,SBIN0004512,12.43,CO-98014
L001026,AMARSINGH KIRAR,HARIRAM BHARGAVA,BHALPANEE,980-585-6732,,MAHB0001204,1.82,CO-98014
L001009,Premlal Jat,JAGDISH JAT,CHINKI,+919890931002,516780083740,MAHB0001204,8.50,CO-0238
L001287, MAHENDRA CHOUDHARY ,THAKUR GIRDHARI,KARHAIYA,9925151575,,UBIN0812345,16.80,CO-0238
L001046,MUKESH D,MADANLAL  SAHU,BELKHERA,9176738505,149431200624,MAHB0001204,6.94,CO-05011
L001430,GOUR LAKHAN,RADHESHYAM GOUR,CHEENKI,9051901843,,,12.74,CO-05011
L001001,CHHOTELAL  CHOUDHARY,DEVILAL PARIHAR,BELKHERA,,018955597971,BARB0NARSIN,15.20,COJN-86-141
L001078,PARSRAM CHOUDHARY,LAKHAN SAHU,BARKHERA,+919932461061,041422618648,UBIN0812345,10.70,CO-98014
L001362,PARIHAR GOVIND,Lakhan P,BARKHEDA (SINGHPUR),99628 32883,132084395892,UBIN0812345,16.32,CO-86032
L001192, BALKISHAN THAKUR ,NANDKISHORE KUSHWAHA,CHINKI,9137908368,749285310646,BARB0NARSIN,9.55,CO-86032
L001438,BHAGWAN KUSHWAHA, PHULCHAND MISRA ,BANDOLE,9669401881,512125754257,,4.45,CO-86032
L001296,NARAYAN YADAV,MAHENDRA WISHWAKARMA,PIPARIYA,,3203 5177 3281,MAHB0001204,5.80,CO-0238
L001180,Chhotelal Gour,GIRDHARI PATHAK,KARHAIYA KHEDA,,553241973371,UBIN0812345,4.00,CO-0238
L001121,RADHESHYAM YADAV,NARAYAN AHIRWAR,GORAKHPUR,,747761325159,UBIN0812345,14.81,CO-98014
L001233,JAGDISH THAKUR,RADHESHYAM KOURAV,BELKHERA,99314 73849,8295 6430 9449,CNRB0003398,13.11,CO-0238
L001194,SANTOSH PARIHAR,,KHAMARIYA,9466966576,332773817128,PUNB0223400,11.03,COJN-86-141
L001128,DINESH AHIRWAR,VISHWAKARMA DINESH,BANDOL,+919887195184,512177328485,MAHB0001204,17.67,CO-98014
L001369,Yadav Phoolchand,Sitaram Patel,DEVNAGAR (GOTEGAON),09623074033,891364631839,PUNB0223400,5.13,CO-05011
L001119,GIRDHARI PATEL,BALKISAN BHARGAWA,DUDWARA,92135 96311,,PUNB0223400,7.68,CO-05011
L001242,SOHAN D,JAGDISH  AHIRWAR,BANDOLE,985-602-5586,109303258524,SBIN0004512,13.09,CO-0238
L001279,MOHAN SAHU,JAT DINESH,DUDWARA,952-016-5121,188702326913,CNRB0003398,15.93,COJN-86-141
L001002,GOVIND RAJPUT,Mukesh Gour,KUKWARA,,,,8.49,CO-05011
L001406,RADHESHYAM MISHRA,Parsram  Sahu,BELKHEDA,9978510136,,BARB0NARSIN,1.91,CO-05011
L983054,GOVIND VISHWAKARMA,BALKISHAN AHIRWAR,PIPARIYA,9783790665,6613 5964 0479,BARB0NARSIN,0.79,CO-0238
L001091,GIRDHARI RAJPUT,SEN BABULAL,KESLI,,103797145922,MAHB0001204,11.79,CO-0238
L001105,CHHOTELAL LODHI,JAGDISH YADAV,KHAMRIYA,9140448211,140529686118,BARB0NARSIN,8.62,CO-98014
L001343,MISHRA PRAKASH,Rajput Suresh,MEHAGAON,9673206240,767165176446,UBIN0812345,13.74,CO-98014
L001236,SHIVKUMAR  PATHAK,Kailash Vishwakarma,KHAMARIA,98605 54024,745361706320,UBIN0812345,2.53,CO-86032
L001175,TULSIRAM KUSHWAHA,MADANLAL LODHI,MEHGAON,09054321613,036390209434,BARB0NARSIN,8.68,CO-86032
L001371,BHAGWAN CHOUDHARY,Kanhaiya Vishwakarma,DUDWARA,,367603255904,SBIN0004512,12.62,COJN-86-141
L001196,MOHAN K,SITARAM  SEN,CHORAKHERA,,200628015559,SBIN0004512,0.54,CO-86032
L001365,JAGDISH  VISHWAKARMA,SHIVKUMAR K,CHEENKI,9470534367,,BARB0NARSIN,12.86,COJN-86-141
L001215,PARSRAM BHARGAVA,Chhotelal  Kirar,GORAKHPUR,9353289281,121135567362,BARB0NARSIN,10.62,CO-98014
L001397,BHAGWAN VISHWAKARMA,AMARSINGH S,JALLAPUR,9785322055,464194683443,BARB0NARSIN,11.76,CO-05011
L001342,KANHAIYA GOUR, KOURAV  KANHAIYA ,CHEENKI,9270786538,698821077860,PUNB0223400,2.98,COJN-86-141
L001464,BRIJMOHAN SAHU,,GORAKPUR,9153735818,,PUNB0223400,2.15,CO-05011
L001391,KANHAIYA RAJPUT,SAMPATLAL SAHU,CHORAKHEDA,9568679765,760513545122,MAHB0001204,4.50,CO-86032
L001386,CHOUDHARY NARAYAN,,BELKHERA,+919631888280,213232848939,SBIN0004512,2.12,COJN-86-141
L001486,Sohan Bhargava, RAGHUVEER AHIRWAR ,CHORAKHERA,9994453715,055943181920,SBIN0004512,0.76,CO-05011
L001193,Jagdish Kourav,BRIJMOHAN LODHI,DUDWARA,09488663046,405606208704,MAHB0001204,2.16,COJN-86-141
L001292,JAGDISH YADAV,LAKHAN LODHI,BARKHERA,99555 52828,,SBIN0004512,0.72,COJN-86-141
L001049,Amarsingh Kourav,Prakash Rajput,CHORAKHERA,,,,6.69,COJN-86-141
L001495,Devilal Choudhary,Omprakash Pathak,BANDOLE,,603928617641,SBIN0004512,17.26,CO-0238
L001436,RAMESH JAT,Lodhi Lakhan,DEONAGAR,9189055877,610105773161,CNRB0003398,4.90,CO-86032
L001059,NANDKISHORE RAJPUT,Sampatlal P,KUKWADA,09336804856,711319017139,,8.45,CO-86032
L001232,LAKAN  SEN,DINESH KOURAV,KHAMARIYA,9239756092,065696579377,UBIN0812345,7.78,COJN-86-141
L001023,DEVILAL BHARGAVA, Rajput Santosh ,BARKHEDA,09134556405,440559874906,,1.05,CO-05011
L001048,Ahirwar Narayan,TULSIRAM PATHAK,CHINKI,941-323-8134,138473873891,CNRB0003398,13.37,CO-05011
L001108,KANHAIYA C,MAHENDRA LODHI,GADARIYA,9318254775,4952 8221 2983,CNRB0003398,8.87,CO-0238
L001272,MUKESH KUSHWAHA,DINESH PARIHAR,MURLI POUDI,9990303663,345736042928,UBIN0812345,7.12,CO-0238
L001479,DINESH VISHWAKARMA,CHHOTELAL GOUR,MURLI POUDI,9739937906,,UBIN0812345,15.62,CO-0238
L001022, Premlal Jat ,,SIGODHI,9318024332,536593687780,,15.51,CO-98014
L001277,Shivkumar Jat,GOUR  GIRDHARI,SIGHODI,9856896854,026015346437,,5.31,CO-98014
L001338,NANDKISHORE SAHU,MUKESH KOURAV,MEHAGAON,930-935-2606,,MAHB0001204,2.21,CO-05011
L001034,Rajesh Choudhary,CHHOTELAL D,BACHAI,9371525302,782724663204,,10.49,COJN-86-141
L001407,HARIRAM AHIRWAR,RAGHUVEER PATEL,DEVNAGAR (GOTEGAON),9533910005,617745369973,MAHB0001204,8.99,CO-05011
L001060,JAGDISH YADAV,Hariram Kirar,CHORAKHEDA,,805081695043,,14.43,COJN-86-141
L001066,BRIJMOHAN  PATEL,GOUR RAMESH,KUKWADA,91379 45188,624618957445,CNRB0003398,5.84,CO-98014
L001011,RAJESH PATHAK,SITARAM AHIRWAR,BANDOLE,09156404104,2346 8535 6068,SBIN0004512,10.11,CO-0238
L001493,SHIVKUMAR  MISHRA,PHULCHAND RAJPUT,JALLAPUR,9094911779,780308220296,,9.04,CO-98014
L001437,KANHAIIA VISWAKARMA,MUKESH AHIRWAR,BHALPANEE,9170482318,,UBIN0812345,13.60,CO-86032
L925722,P MUKESH,DINESH PARIHAR,MEHGAON,09785539142,936795657425,PUNB0223400,5.30,COJN-86-141
L001453,KUSHWAHA GOVIND,Thakur Rajesh,KARHAIYA,,408254816307,BARB0NARSIN,10.85,CO-86032
L001335, TULSIRAM  RAJPUT ,Jagdish Parihar,KUKWARA,+919190005985,592635153709,MAHB0001204,7.30,CO-98014
L001390,MUKESH VISHWAKARMA,Sohan Sen,KHAMARIYA,+919053790740,,UBIN0812345,7.03,CO-98014
L001460,Nandkishore Jat, TULSIRAM IADAV ,KARHAIA,9657340029,277148959484,UBIN0812345,17.88,COJN-86-141
L001466,PARSRAM PATHAK,GOVIND KUSHWAHA,MURLIPAUDI,9933734020,6141 2238 1917,UBIN0812345,11.27,CO-0238
L001414, SOHAN PATEL , KANHAIYA  K ,BACHAI,91717 31311,998014583432,UBIN0812345,12.30,CO-98014
L001415,YADAV  SHIVKUMAR, Radheshyam Ahirwar ,BANDOLE,+919332968334,835700891831,UBIN0812345,3.47,CO-05011
L001041,Lakhan  Patel, RAMESH KOURAV ,KARHAIYA,9804619003,278948829369,CNRB0003398,2.63,CO-86032
L001428,LAKHAN TIWARI,PATHAK BHAGWAN,BACHAI KALAN,+919791166964,503105109632,,7.38,CO-86032
L001228,HARIRAM KUSHWAHA,RAJES DUBEI,BACHAI,9038928285,756431896309,CNRB0003398,15.35,CO-86032
L001205,AHIRWAR  DEVILAL,GOUR  GIRDHARI,BARKHERA,,4964 4439 0371,,5.33,CO-86032
L001082, SOHAN BHARGAVA ,LAKHAN TIWARI,MEHAGAON,+919875901714,,BARB0NARSIN,9.60,CO-86032
L001307, TULSIRAM MISHRA ,CHHOTELAL KUSHWAHA,DUDWARA,09491969640,,BARB0NARSIN,8.92,CO-86032
L001256,PHOOLCHAND BHARGAVA,Mohan Jat,JALLAPUR,9402898461,484280890289,BARB0NARSIN,6.19,CO-86032
L001187,Mukesh P,DINESH PARIHAR,MEHGAON,09785539142,936795657425,PUNB0223400,5.30,COJN-86-141
L001204,Mahendra Patel,HARIRAM MISHRA,KESLI,+919703129287,082357251524,,0.87,CO-86032
L001291,GOVIND RAJPUT,SAMPATLAL  BHARGAVA,GORAKHPUR,9831021789,8905 7217 9447,MAHB0001204,13.91,CO-86032
L001115,GIRDHARI MISHRA,CHHOTELAL SAHU,CHEENKI,9657707983,0205 4133 7478,,7.66,CO-0238
L001190,KANHAIYA K,DEVILAL GOUR,KHAMARIA,96626 24789,,SBIN0004512,10.81,CO-05011
L001171,PREMLAL PATEL,RAGHUVEER MISHRA,CHORAKHEDA,9985950040,,BARB0NARSIN,9.00,CO-05011
L001110,LAKHAN VISHWAKARMA,YADAV JAGDISH,BARKHEDA,996-354-7660,805096335001,,15.24,CO-98014
L001373,CHOUDHARY CHHOTELAL,,DEVNAGAR,9113733805,800151347745,MAHB0001204,7.75,CO-98014
L001421,DINESH KIRAR, HARIRAM THAKUR ,KARHAIYA KHEDA,9308495132,710661886004,,14.43,CO-98014
L001431,MAHENDRA TIWARI,Bhagwan Thakur,DUDHWARA,9064881736,978193410965,UBIN0812345,1.10,CO-0238
L001448,SITARAM PARIHAR,GANESH  THAKUR,DUDHWARA,9927199918,,PUNB0223400,15.41,CO-0238
L001299,MADANLAL LODHI,Dinesh Gour,PIPARIYA,9251832507,,MAHB0001204,6.26,CO-05011
L001353,GIRDHARI KIRAR,KIRAR OMPRAKASH,GADARIYA,,626187720866,CNRB0003398,12.73,CO-86032
L001010,SANTOSH THAKUR,NANDKISHORE  KOURAV,PIPPARIYA,98477 71834,,UBIN0812345,1.81,CO-0238
L001042,RAJESH VISHWAKARMA,SITARAM AHIRWAR,BELKHERA,9364670312,256204685158,BARB0NARSIN,15.75,COJN-86-141
L960617,Radheshyam Rajput,GIRDHARI PATEL,CHINKI,+919841485253,8885 3933 6338,SBIN0004512,9.12,CO-0238
L001163, AMARSINGH THAKUR ,CHHOTELAL  YADAV,KHAMARIA,9446947419,059262536287,MAHB0001204,15.20,CO-05011
L001255,Choudhary Radheshyam,Sampatlal Sahu,GADARIYA,941-625-7107,674445918626,BARB0NARSIN,10.52,CO-98014
L001129,KUSHWAHA GOVIND,TULSIRAM A,KHAMRIYA,9156572672,567281178711,UBIN0812345,13.56,COJN-86-141
L001212,NANDKISHORE CHOUDHARY,SAMPATLAL JAT,KUKWARA,09964583676,434804129453,,1.89,CO-05011
L001281,SITARAM  AHIRWAR,AMARSINGH MISHRA,KESLI,+919769955816,2930 4802 9649,MAHB0001204,9.04,COJN-86-141
L001366,Omprakash  Kushwaha,Jagdish Gour,CHORAKHERA,9965573199,9310 0935 8759,UBIN0812345,12.78,CO-05011
L001124,KANHAIYA GOUR,Suresh  Vishwakarma,GORAKHPUR,09588728697,,CNRB0003398,5.83,CO-0238
L001348,PRAKASH K,YADAV  DEVILAL,GORAKHPUR,9436736731,476521478420,SBIN0004512,3.53,COJN-86-141
