grower_code,grower_name,father_name,village,phone,bank_account,ifsc,land_acres,cane_variety
G0500179,Phoolchand Y,,GADARIA,9343614164,,SBIN0004512,9.54,CO-0238
G0500397,BHAGWAN VISHWAKARMA,AMARSINGH SEN,JALLAPUR,9785322055,464194683443,BARB0NARSIN,11.76,CO-05011
G0500000,OMPRAKASH PATHAK,DINESH LODHI,GADARIYA,,661318609139,CNRB0003398,17.08,CO-05011
G0500283,OMPRAKASH M,PARSRAM AHIRWAR,CHORAKHERA,9360139774,034223289078,PUNB0223400,10.51,CO-05011
G0500029,TIWARI DEVILAL,NANDKISHORE PATHAK,DUDHWARA,+919584853715,,SBIN0004512,1.37,COJN-86-141
G0500088,BALKISHAN THAKUR,DINESH RAJPUT,BARKHEDA (SINGHPUR),9243306411,,CNRB0003398,11.52,CO-86032
G0500382,JAGDISH PATEL,Dinesh Sahu,PIPPARIYA,9559604244,,BARB0NARSIN,9.88,COJN-86-141
G0500130,RAJESH LODHI, Mohan Kushwaha ,GADARIYAKHEDA,9727706190,863082356535,CNRB0003398,11.87,CO-86032
G0500226,SITARAM THAKUR,PRAKASH TIWARI,GORAKHPUR,9046163886,,BARB0NARSIN,15.94,CO-98014
G0500271, GIRDHARI PATHAK , GIRDHARI VISHWAKARMA ,JALAPUR,9449704377,799064377149,UBIN0812345,2.64,CO-05011
G0500373, CHHOTELAL CHOUDHARY ,HARIRAM SEN,DEVNAGAR (GOTEGAON),9113733805,800151347745,MAHB0001204,7.75,CO-98014
G0500438,BHAGWAN KUSHWAHA, PHOOLCHAND M ,BANDOL,9669401881,512125754257,CNRB0003398,4.45,CO-86032
G0500418,OMPRAKAS PATHAK,SAHU TULSIRAM,BANDOL,,276685308878,MAHB0001204,11.25,CO-0238
G0500207,MUKESH P,RAGHUVEER  V,DEVNAGAR (GOTEGAON),9805927020,442643045391,SBIN0004512,7.60,CO-0238
G0500203,SEN MADANLAL,Bhagwan Yadav,KHAMARIA,9876300521,603402284244,MAHB0001204,8.12,CO-86032
G0500332,Kailash Thakur,Jagdish K,KARHAIYA KHEDA,09455592670,273977427316,CNRB0003398,5.70,CO-98014
G0500266,KANHAIYA  LODHI,,JALLAPUR,9945481349,673582288666,UBIN0812345,6.47,CO-98014
G0500111,PHOOLCHAND VISHWAKARMA,BABULAL  AHIRWAR,BACHHAI,+919761499054,839690678929,MAHB0001204,13.34,COJN-86-141
G0500065,GOWIND WISHWAKARMA,BALKISHAN AHIRWAR,PIPARIYA,9783790665,661359640479,BARB0NARSIN,0.79,CO-0238
G0500427,BHAGWAN GOUR,KANHAIIA  KIRAR,BANDOLE,986-609-3593,2547 6196 0675,SBIN0004512,6.46,CO-05011
G0500461,MAHENDRA YADAV,PREMLAL BHARGAVA,SIGHODI,9819777386,5432 0762 9346,SBIN0004512,5.72,CO-98014
G0500305,OMPRAKAS IADAV,SOHAN SAHU,SIGODHI,9445343541,3651 9456 4841,UBIN0812345,7.08,CO-86032
G0900002,BALKISHAN CHOUDHARY,SHIVKUMAR DUBEY,BANDOLE,9993747934,451685778691,PUNB0223400,12.38,CO-86032
G0500156,MADANLAL PARIHAR, JAGDIS THAKUR ,BHALPANEE,,005814611891,PUNB0223400,11.62,CO-05011
G0500108,CHOUDHARY KANHAIYA,MAHENDRA LODHI,GADARIA,09318254775,495282212983,CNRB0003398,8.87,CO-0238
G0500205,DEVILAL AHIRWAR,,BARKHERA,9539181869,4964 4439 0371,MAHB0001204,4.38,CO-86032
G0500004,Mukesh Pathak,AMARSINGH PATHAK,GADARIYA,+919122202972,997528820018,BARB0NARSIN,13.62,CO-86032
G0500494,TULSIRAM C,DEVILAL T,MURLI POUDI,9506939813,981017439610,CNRB0003398,11.40,CO-86032
G0500388,MADANLAL KIRAR,HARIRAM KOURAV,MEHAGAON,9534296025,308101848761,MAHB0001204,15.97,COJN-86-141
G0500127,DEVILAL  YADAV,RAMESH JAT,PIPARIYA,9648694927,3684 5480 1848,UBIN0812345,15.44,CO-98014
G0500097,JAGDISH  JAT,SURESH MISHRA,CHEENKI,9692084417,805560698435,PUNB0223400,14.82,CO-98014
G0500026,AMARSINGH KIRAR,HARIRAM BHARGAVA,BHALPANI,9805856732,681950446600,MAHB0001204,1.82,CO-98014
G0500061,MUKESH YADAV,Lakhan Vishwakarma,CHORAKHERA,9476202027,439582445832,BARB0NARSIN,17.05,CO-86032
G0500498,Mukesh Choudhary,KAILAS GOUR,BARKHERA,9341263044,470114563525,UBIN0812345,8.47,CO-98014
G0500415,SHIVKUMAR YADAV, AHIRWAR RADHESHYAM ,BANDOLE,,835700891831,UBIN0812345,3.47,CO-05011
G0500099,Tulsiram Kourav,LAKHAN TIWARI,CHORAKHERA,9031563635,936088447770,BARB0NARSIN,1.45,CO-98014
G0500252,PHOOLCHAND K,BALKISHAN KUSHWAHA,KHAMARIYA,97987 42278,334726669938,CNRB0003398,2.26,COJN-86-141
G0500430,LAKHAN GOUR,RADHESHYAM  GOUR,CHINKI,9051901843,552735454709,UBIN0812345,12.74,CO-05011
G0500167, PREMLAL PATEL ,BRIJMOHAN MISHRA,SIGHODI,9971205514,926927343410,PUNB0223400,14.40,COJN-86-141
G0500330,GOUR GIRDHARI,RADHESHYAM LODHI,BELKHERA,9164271458,362078807850,CNRB0003398,6.28,CO-0238
G0500308,Omprakash Jat,RAJES THAKUR,GADARIA,09422134319,444767459704,PUNB0223400,1.19,CO-0238
G0500267,AHIRWAR GOVIND,Girdhari Jat,SIGODHI,92176 73009,299866580603,BARB0NARSIN,18.00,CO-0238
G0500161,BALKISHAN P,RAGHUVEER SAHU,CHORAKHERA,,4682 8841 0816,SBIN0004512,16.01,CO-98014
G0500016,Naraian  Gour,NARAYAN VISHWAKARMA,MEHGAON,9249351643,883170107375,UBIN0812345,1.21,COJN-86-141
G0500262,CHHOTELAL SAHU,MUKESH AHIRWAR,KHAMRIYA,+919965359511,927353365539,MAHB0001204,10.19,CO-98014
G0500177,RADHESHYAM BHARGAVA,Babulal Kushwaha,BACHHAI,9191948517,617413534661,MAHB0001204,1.21,CO-86032
G0500076,KAILAS PATEL,Dinesh Kushwaha,BELKHEDA,9653407771,178716177236,UBIN0812345,8.20,CO-0238
G0500434,MADANLAL RAJPUT,GIRDHARI WISHWAKARMA,BACHAI KALAN,9458356852,318822249839,BARB0NARSIN,8.27,COJN-86-141
G0500072,KUSHWAHA  NARAYAN,Patel Balkishan,KARHAIYA KHEDA,+919070633089,640270711228,PUNB0223400,3.35,CO-05011
G0500037,BRIJMOHAN YADAV,Ganesh  Y,KESALI,9556356956,8058 2536 0518,BARB0NARSIN,3.78,COJN-86-141
G0500206,LAKHAN GOUR,JAGDISH KIRAR,GORAKPUR,+919889504844,787859988385,UBIN0812345,8.51,CO-98014
G0500015,RAJESH PATEL,GOVIND K,KESALI,09776467272,0429 3557 5918,UBIN0812345,3.95,CO-86032
G0500424,Balkishan Choudhary,Dinesh Rajput,KHAMARIYA,+919069744026,,PUNB0223400,11.27,CO-86032
G0500030,PREMLAL  AHIRWAR,PARSRAM YADAV,BACHAI,9798016967,,MAHB0001204,4.21,CO-86032
G0500121,RADHESHYAM Y,Narayan Ahirwar,GORAKPUR,9020475033,747761325159,UBIN0812345,14.81,CO-98014
G0500354,SITARAM RAJPUT,MAHENDRA PATEL,KHAMARIYA,,799667885596,UBIN0812345,17.39,COJN-86-141
G0500322,RAMESH  GOUR,SURESH SEN,KESALI,92420 95662,759798045717,CNRB0003398,14.97,CO-0238
G0500483,SITARAM LODHI,OMPRAKASH K,KESALI,,886554207772,BARB0NARSIN,5.48,CO-86032
G0500326,PATEL PHOOLCHAND,Shivkumar Yadav,MURLI POUDI,9939601711,649808232368,PUNB0223400,4.62,CO-98014
G0500414,SOHAN PATEL,KANHAIYA KOURAV,BACHHAI,9171731311,,UBIN0812345,12.30,CO-98014
G0500254,BRIJMOHAN VISHWAKARMA, KAILASH LODHI ,BHALPANI,9330265789,,BARB0NARSIN,16.42,CO-98014
G0500293,SURESH KOURAV,PRAKASH R,KESALI,9047418536,730186529103,UBIN0812345,5.72,CO-98014
G0500452,RAJESH MISHRA,GANESH BHARGAVA,SIGHODI,9430198406,734276562451,MAHB0001204,3.06,CO-0238
G0500174,KAILASH CHOUDHARY,,BANDOLE,9462236822,240099768175,CNRB0003398,16.97,CO-86032
G0500249,GANES  KUSWAHA,RAJPUT RAJESH,KUKWADA,+919153693764,7861 6942 7095,PUNB0223400,15.47,CO-0238
G0500396,BRIJMOHAN  PARIHAR,SHIVKUMAR DUBEY,PIPARIA,9721059834,1853 7348 0745,SBIN0004512,10.97,CO-05011
G0500093,PARSRAM PATEL,Bhagwan Yadav,CHORAKHEDA,9614590865,982093231314,PUNB0223400,8.52,CO-05011
G0500251,GANESH LODHI,SHIVKUMAR AHIRWAR,JALLAPUR,9163117512,378825336035,SBIN0004512,1.11,CO-0238
G0500163,Amarsingh Thakur,Chhotelal Yadav,KHAMARIYA,,059262536287,MAHB0001204,15.20,CO-05011
G0500067,NANDKISHORE TIWARI,DUBEY BHAGWAN,KUKWADA,09487861465,0248 2409 4652,UBIN0812345,5.27,CO-98014
G0500324,Mohan Rajput,SANTOSH MISHRA,BARKHEDA,9112131332,954196432361,PUNB0223400,17.17,COJN-86-141
G0500050,SAMPATLAL BHARGAVA,Mahendra Yadav,BELKHERA,9129967276,398155834299,PUNB0223400,1.26,CO-86032
G0500433,SAMPATLAL  KOURAV,MAHENDRA K,BACHAI,9831125360,095110723949,PUNB0223400,1.66,CO-86032
G0500265,Ganes Misra,PARSRAM AHIRWAR,BARKHEDA (SINGHPUR),9954300036,209360521690,CNRB0003398,5.07,CO-05011
G0500150,Kailas Kuswaha,GANESH PATEL,DUDWARA,9143083765,,MAHB0001204,16.77,COJN-86-141
G0500496,BABULAL JAT,Amarsingh C,BARKHEDA (SINGHPUR),942-259-8122,591447705654,SBIN0004512,16.58,CO-0238
G0500390,MUKESH  VISHWAKARMA,SOHAN SEN,KHAMARIYA,09053790740,,UBIN0812345,7.03,CO-98014
G0500133, Govind Sen ,Jagdish Patel,GORAKHPUR,92720 84563,,MAHB0001204,0.84,COJN-86-141
G0500376,SAMPATLAL  DUBEY,GANESH TIWARI,BHALPANI,09734683136,8408 3160 3795,PUNB0223400,16.41,CO-0238
G0500278,NARAIAN  PATHAK,AMARSINGH K,BELKHEDA,9536047986,4986 6707 3896,MAHB0001204,13.77,COJN-86-141
G0500303,Dubey Sitaram,TULSIRAM DUBEY,CHINKI,97536 91422,964224903413,BARB0NARSIN,17.69,CO-86032
G0500398,NARAYAN PARIHAR,BHAGWAN CHOUDHARY,PIPARIYA,+919295761817,,BARB0NARSIN,0.65,CO-05011
G0500340,MADANLAL  PATEL, BABULAL D ,KHAMRIYA,9852214434,511589287456,CNRB0003398,13.83,CO-86032
G0500399,OMPRAKASH AHIRWAR,AMARSINGH GOUR,MURLI POUDI,9684701061,305545510791,CNRB0003398,9.60,CO-86032
G0500003,RADHESHYAM RAJPUT,GIRDHARI PATEL,CHEENKI,9841485253,888539336338,SBIN0004512,9.12,CO-0238
G0500137,SAMPATLAL P,Kushwaha Devilal,KHAMRIYA,,9727 0238 5440,SBIN0004512,16.64,CO-98014
G0500228,HARIRAM KUSHWAHA,RAJESH DUBEY,BACHAI,9038928285,7564 3189 6309,CNRB0003398,15.35,CO-86032
G0500112,DEWILAL TIWARI,SURESH JAT,SIGODHI,,551262480917,BARB0NARSIN,9.38,CO-86032
G0500018,MUKESH PARIHAR,SHIVKUMAR  S,KUKWADA,9396937293,068265123308,MAHB0001204,15.24,CO-0238
G0500422,PHOOLCHAND PATEL,Kailash Rajput,DEVNAGAR (GOTEGAON),9725739962,630275784864,MAHB0001204,3.49,CO-98014
G0500085,SHIVKUMAR PATHAK,RAJESH MISHRA,JALAPUR,9354582788,029682208195,UBIN0812345,1.43,CO-0238
G0500481,MADANLAL BHARGAVA,BALKISAN  PARIHAR,BARKHEDA (SINGHPUR),+919568994880,297135132357,SBIN0004512,10.85,CO-05011
G0500370,SANTOSH GOUR,MADANLAL YADAV,BACHAI,97251 94804,456174771578,MAHB0001204,18.20,CO-0238
G0500084,DINESH KIRAR,AMARSINGH DUBEY,SIGODHI,+919773553111,333585190799,BARB0NARSIN,11.70,COJN-86-141
G0500469,SHIVKUMAR SAHU,GIRDHARI PATHAK,PIPARIYA,9851086580,7647 8971 8945,MAHB0001204,10.98,CO-98014
G0500158,LAKAN CHOUDHARI,PRAKASH VISHWAKARMA,MEHGAON,91942 75879,773094306546,CNRB0003398,13.37,CO-86032
G0900009,AMARSINGH TIWARI,SITARAM KUSHWAHA,CHINKI,9524728919,029810584234,MAHB0001204,11.70,CO-0238
G0500148, BRIJMOHAN RAJPUT ,MAHENDRA  SAHU,BARKHEDA (SINGHPUR),,118091874892,CNRB0003398,16.42,CO-05011
G0500045,Nandkishore Thakur,MAHENDRA KIRAR,MURLI PAUDI,,255613422773,CNRB0003398,12.85,CO-0238
G0500036,DINESH KOURAV,,BHALPANEE,9780882031,392214480013,MAHB0001204,5.07,CO-05011
G0500412,BHAGWAN MISHRA,GANESH JAT,BANDOL,91512 89696,651379077489,PUNB0223400,9.52,CO-0238
G0500429,SAMPATLAL  PATEL,BABULAL AHIRWAR,CHEENKI,975-053-7502,759752595775,BARB0NARSIN,1.57,CO-05011
G0500447,MADANLAL MISHRA, NARAYAN PATHAK ,GADARIA,9839209008,550279694435,BARB0NARSIN,15.07,COJN-86-141
G0500478, VISHWAKARMA SURESH ,Sampatlal Rajput,BELKHEDA,94407 66403,021770571525,MAHB0001204,1.57,CO-86032
G0500269,HARIRAM DUBEY,Sampatlal Thakur,BANDOL,9391789887,854587889858,SBIN0004512,11.15,CO-05011
G0500445,JAGDISH SAHU,HARIRAM MISHRA,BARKHEDA (SINGHPUR),9145944681,198673759114,PUNB0223400,13.24,CO-98014
G0500462,LAKHAN PATEL,RAJESH LODHI,DEVNAGAR (GOTEGAON),9851626395,462421504876,MAHB0001204,3.85,CO-98014
G0500193,JAGDISH KOURAV,BRIJMOHAN LODHI,DUDWARA,09488663046,,MAHB0001204,2.16,COJN-86-141
G0500043,GOVIND CHOUDHARY,JAGDISH SAHU,CHORAKHERA,9979583698,,MAHB0001204,0.76,CO-0238
G0500335,TULSIRAM RAJPUT,JAGDISH PARIHAR,KUKWADA,9190005985,5926 3515 3709,MAHB0001204,7.30,CO-98014
G0500489,NARAIAN SEN,,DEVNAGAR (GOTEGAON),,305454495831,SBIN0004512,11.41,CO-98014
G0500066,BRIJMOHAN P,RAMESH  GOUR,KUKWARA,9137945188,572042399806,CNRB0003398,5.84,CO-98014
G0500387,KANHAIYA Y,SURESH PATHAK,JALAPUR,+919753136075,4426 4790 0947,MAHB0001204,2.34,CO-86032
G0500118,BRIJMOHAN BHARGAVA,BALKISHAN  YADAV,JALAPUR,950-145-1728,821892624395,PUNB0223400,8.73,CO-98014
G0500120,MUKESH DUBEY,Govind  Dubey,BACHHAI,996-902-5661,,PUNB0223400,10.22,CO-86032
G0500001,CHHOTELAL C,DEVILAL PARIHAR,BELKHERA,9118625276,018955597971,BARB0NARSIN,15.20,COJN-86-141
G0500375,MAHENDRA  BHARGAVA,RADHESHYAM RAJPUT,SIGODHI,9531658387,2380 5698 2926,MAHB0001204,12.29,COJN-86-141
G0500285,BALKISHAN GOUR,DINES JAT,KUKWARA,9057466455,124085036254,PUNB0223400,2.46,CO-98014
G0500366,OMPRAKASH KUSHWAHA,JAGDISH  GOUR,CHORAKHERA,,9310 0935 8759,UBIN0812345,12.78,CO-05011
G0500041,LAKHAN PATEL,KOURAV RAMESH,KARHAIYA KHEDA,09804619003,191537960036,CNRB0003398,2.63,CO-86032
G0900000,MAHENDRA MISHRA,RAGHUVEER SAHU,BHALPANI,9554023922,656138889595,MAHB0001204,7.66,CO-98014
G0500348,PRAKASH KIRAR,DEVILAL YADAV,GORAKPUR,94367 36731,,SBIN0004512,3.53,COJN-86-141
G0500151,PARSRAM VISHWAKARMA,CHHOTELAL V,BARKHERA,925-792-2137,108017242558,CNRB0003398,10.57,CO-0238
G0500405,HARIRAM AHIRWAR,RAJESH AHIRWAR,CHORAKHEDA,9467559740,,CNRB0003398,3.19,CO-86032
G0500038,Girdhari Kourav,AMARSINGH PARIHAR,BARKHEDA (SINGHPUR),+919936385784,977403533886,SBIN0004512,17.47,CO-98014
G0500091,GIRDHARI RAJPUT,BABULAL SEN,KESLI,9634807701,103797145922,MAHB0001204,11.79,CO-0238
G0500355,SURESH KIRAR,RAJESH  PATHAK,DUDWARA,9503900017,992007731941,MAHB0001204,8.48,CO-05011
G0500056,CHHOTELAL MISHRA,BHAGWAN PATHAK,SIGODHI,9658662666,203984963311,MAHB0001204,15.25,CO-0238
G0500361,GANESH KIRAR,,MURLIPAUDI,9057928594,3935 0901 0277,UBIN0812345,11.50,CO-0238
G0500359,SANTOSH R,GOUR  SITARAM,KESALI,9056735018,,BARB0NARSIN,14.53,CO-0238
G0500455,Rajesh Ahirwar,PREMLAL B,SIGHODI,9074792883,,UBIN0812345,15.01,CO-86032
G0500210,HARIRAM VISHWAKARMA,Girdhari Rajput,CHEENKI,9333603723,7466 3250 5170,SBIN0004512,4.22,COJN-86-141
G0500186,SAMPATLAL  PATEL,PREMLAL PARIHAR,KHAMRIYA,9329525883,606239692305,MAHB0001204,10.59,COJN-86-141
G0500077,Girdhari Sen,GOVIND B,KARHAIYA,+919925265052,309717304723,CNRB0003398,5.83,COJN-86-141
G0500394,KANHAIYA  AHIRWAR,SITARAM GOUR,MEHGAON,+919540727794,225991900400,MAHB0001204,11.87,CO-86032
G0500034,RAJESH CHOUDHARY,CHHOTELAL D,BACHAI KALAN,,782724663204,PUNB0223400,10.49,COJN-86-141
G0500248,PRAKASH THAKUR,GANESH LODHI,CHEENKI,9190066060,457644168500,BARB0NARSIN,7.04,CO-05011
G0500419,RAJPUT  PARSRAM,Brijmohan Rajput,GADARIA,,031850118116,MAHB0001204,7.23,CO-05011
G0500436,Ramesh Jat,LAKHAN LODHI,DEONAGAR,9189055877,610105773161,CNRB0003398,4.90,CO-86032
G0500343,PRAKASH MISHRA,Suresh Rajput,MEHAGAON,,587683465389,UBIN0812345,13.74,CO-98014
G0500486,SOHAN BHARGAVA,RAGHUVEER AHIRWAR,CHORAKHEDA,+919994453715,055943181920,SBIN0004512,0.76,CO-05011
G0500008,PREMLAL GOUR,Dinesh Lodhi,PIPARIA,+919684934072,247045585304,SBIN0004512,4.31,CO-86032
G0500106,MOHAN AHIRWAR,LODHI TULSIRAM,MEHGAON,,710028311839,PUNB0223400,9.56,CO-86032
G0500128,Dinesh  Ahirwar,Dines Wishwakarma,BANDOL,9887195184,5121 7732 8485,MAHB0001204,17.67,CO-98014
G0500040,GIRDHARI PARIHAR,Premlal Jat,DUDWARA,98667 50957,018316586892,BARB0NARSIN,15.90,CO-98014
G0500028,Prakash  Kirar,PRAKASH SAHU,MEHAGAON,96327 78077,273728902579,BARB0NARSIN,9.21,COJN-86-141
G0500135,GOVIND L,NANDKISHORE M,BELKHEDA,9644647077,580728441771,BARB0NARSIN,1.73,CO-86032
G0500275,CHOUDHARY TULSIRAM,RADHESHYAM C,DEVNAGAR,99443 42776,614460016112,BARB0NARSIN,6.32,COJN-86-141
G0500465,RAGHUVEER  PARIHAR,MUKESH RAJPUT,PIPARIA,9685140412,193094458998,UBIN0812345,17.01,CO-05011
G0500134,SITARAM S,SAHU BALKISHAN,BHALPANEE,96916 34661,6822 2422 8378,UBIN0812345,17.17,CO-86032
G0500314, KAILASH  YADAV ,JAGDISH YADAV,CHORAKHERA,9865838031,379771868611,UBIN0812345,6.88,CO-0238
G0500039,BRIJMOHAN KUSHWAHA,Phoolchand Sahu,PIPPARIYA,09261068917,692649916774,PUNB0223400,13.15,COJN-86-141
G0500321,Hariram Kuswaha,MADANLAL YADAV,KESALI,+919822049167,1489 3277 7743,UBIN0812345,8.41,CO-86032
G0500237,PRAKASH PARIHAR,GIRDHARI AHIRWAR,BHALPANEE,+919127205404,,MAHB0001204,7.86,CO-05011
G0500124,KANHAIYA GOUR,SURESH VISHWAKARMA,GORAKPUR,9588728697,,CNRB0003398,5.83,CO-0238
G0500162, SOHAN KIRAR ,Madanlal Yadav,KARHAIA,959-956-4052,876446697253,BARB0NARSIN,9.30,CO-86032
G0500304,BHAGWAN Y,RAJES THAKUR,BARKHERA,9964072086,,CNRB0003398,16.15,CO-98014
G0500442,SEN  SANTOSH,AMARSINGH P,DEVNAGAR (GOTEGAON),93629 74397,3177 2767 5114,MAHB0001204,15.96,COJN-86-141
G0500403,SURESH SEN,SHIVKUMAR CHOUDHARY,BANDOLE,9049859204,089759352223,CNRB0003398,10.35,CO-05011
G0500281,SITARAM AHIRWAR,AMARSINGH MISHRA,KESALI,9769955816,293048029649,MAHB0001204,9.04,COJN-86-141
G0500053,BABULAL TIWARI,Tiwari Premlal,BARKHERA,9898299539,470487845884,CNRB0003398,2.81,CO-0238
G0500292,YADAV JAGDISH,LAKHAN LODHI,BARKHEDA (SINGHPUR),09955552828,483852045662,SBIN0004512,0.72,COJN-86-141
G0500215,PARSRAM  BHARGAVA,CHHOTELAL KIRAR,GORAKPUR,935-328-9281,,BARB0NARSIN,10.62,CO-98014
G0500136,YADAV CHHOTELAL,OMPRAKASH K,KHAMRIYA,9991456746,853483374278,BARB0NARSIN,2.52,CO-86032
G0500431,Mahendra Tiwari,Bhagwan Thakur,DUDWARA,,9781 9341 0965,UBIN0812345,1.10,CO-0238
G0500159,PRAKASH C,,BELKHEDA,9711589290,6347 5224 5595,SBIN0004512,0.83,CO-86032
G0500196,MOHAN KOURAV,,CHORAKHEDA,9809289759,200628015559,SBIN0004512,0.54,CO-86032
G0500131,Kirar Bhagwan,AMARSINGH PATEL,BHALPANEE,+919455011708,617114061883,SBIN0004512,7.43,CO-86032
G0500187,Mukesh Patel,DINES  PARIHAR,MEHAGAON,+919785539142,936795657425,PUNB0223400,5.30,COJN-86-141
G0500057,PHOOLCHAND T, BRIJMOHAN AHIRWAR ,PIPARIYA,,8253 2272 0565,SBIN0004512,15.06,CO-98014
G0500103,KOURAV SHIVKUMAR,SANTOS MISRA,MURLI PAUDI,9766312628,,UBIN0812345,8.81,CO-05011
G0500211,Raghuveer Parihar,KAILASH BHARGAVA,CHORAKHERA,9307323230,974616430603,CNRB0003398,16.65,CO-05011
G0500247,PHOOLCHAND  MISHRA,PATHAK OMPRAKASH,MEHGAON,+919091225642,,CNRB0003398,6.02,CO-86032
G0500154,Thakur Suresh,DEVILAL SAHU,PIPARIYA,+919362008301,462991322331,MAHB0001204,0.12,CO-05011
G0500317,NANDKISHORE GOUR,BALKISHAN CHOUDHARY,BANDOL,,462487958935,SBIN0004512,4.32,CO-05011
G0500374,AMARSINGH RAJPUT,BHARGAVA TULSIRAM,MEHAGAON,92700 68360,,MAHB0001204,5.42,CO-0238
G0500232,LAKHAN  SEN,,KHAMARIYA,923-975-6092,160776483938,UBIN0812345,7.78,COJN-86-141
G0500052,YADAV HARIRAM,GANESH CHOUDHARY,BACHAI,+919394813302,901195203480,UBIN0812345,11.70,CO-0238
G0500413,Kanhaiya Tiwari,MADANLAL THAKUR,BHALPANI,,2043 4353 4079,BARB0NARSIN,3.36,CO-86032
G0500466,PARSRAM PATHAK, GOVIND  KUSHWAHA ,MURLIPAUDI,09933734020,614122381917,UBIN0812345,11.27,CO-0238
G0500155,Parsram Choudhary,KAILASH GOUR,KARHAIA,+919803407570,295826877038,PUNB0223400,9.18,CO-86032
G0500380,Brijmohan Sen,Bhagwan Sen,MEHAGAON,,174596906356,UBIN0812345,16.31,CO-86032
G0500046,MUKESH  DUBEY,Madanlal  Sahu,BELKHEDA,+919176738505,149431200624,MAHB0001204,6.94,CO-05011
G0500327,Girdhari Bhargava,MOHAN P,DUDWARA,9246054795,804513750892,CNRB0003398,6.39,COJN-86-141
